id,title,include_status,screening_rationale,decision,reason
P1124,Costs and benefits of a Meta and tiktok public campaign to promote the usage of a sleep hygiene phone app,EXCLUDE,EC-NO-ABS: Missing abstract text,Exclusion,EC-NO-ABS: Missing abstract text
P1127,Z4IP – Comprehensive Sleep and Activity Phenotyping Through Multifactor Mobile Data Integration,EXCLUDE,EC-NO-ABS: Missing abstract text,Exclusion,EC-NO-ABS: Missing abstract text
P1132,The Relationship Between College Students’ Mobile Phone Dependence and Sleep Quality: The Chain Mediation Role of Adult Attachment and Emotional Expression,EXCLUDE,EC-SUR: Questionnaire-based study on mobile phone dependence and sleep quality,Exclusion,EC-SUR: Questionnaire-based study on mobile phone dependence and sleep quality
P1135,Non-contact acoustic screening for sleep apnea: a subject-aware deep learning approach,EXCLUDE,"EC-CAM: Uses camera-derived, non-contact audio/video recording",Exclusion,"EC-CAM: Uses camera-derived, non-contact audio/video recording"
P1145,"In adults with suspected obstructive sleep apnea (OSA), how do clinical outcomes and cost-effectiveness compare when diagnosis is based on a limited-channel sleep study (Level III or IV) versus full polysomnography (Level I)?",EXCLUDE,EC-NO-ABS: Missing abstract text.,Exclusion,EC-NO-ABS: Missing abstract text.
P115,Altify: Shift-left Icon Alt-text for Mobile App Developers,EXCLUDE,EC-N: Out of scope (mobile app UI accessibility/alt-text generation).,Exclusion,EC-N: Out of scope (mobile app UI accessibility/alt-text generation).
P1153,Sleep Quality Monitoring using Heartbeat and Motion Sensor,EXCLUDE,EC-BED: Uses specialized multi-sensor setups/wearables instead of standard smartphone placement.,Exclusion,EC-BED: Uses specialized multi-sensor setups/wearables instead of standard smartphone placement.
P1158,"Effect of Yoga Module on Quality of Sleep, Attention &amp; Mobile Phone Dependence in School Students: A Randomized Control Trial",EXCLUDE,EC-SUR: Uses questionnaire-based sleep assessment (PSQI) rather than acoustic/motion sensor AHI screening.,Exclusion,EC-SUR: Uses questionnaire-based sleep assessment (PSQI) rather than acoustic/motion sensor AHI screening.
P1171,Sleep Apnea Monitoring with a Consumer-Grade Wearable: Performance of the Samsung Galaxy Watch,EXCLUDE,EC-NO-ABS: Missing abstract text.,Exclusion,EC-NO-ABS: Missing abstract text.
P1177,Effect of Bedtime Mobile Phone Scrolling on Sleep Latency and Dream Recall among Paramedical Students,EXCLUDE,EC-SUR: Cross-sectional questionnaire study evaluating bedtime mobile phone use rather than sensor-based OSA detection.,Exclusion,EC-SUR: Cross-sectional questionnaire study evaluating bedtime mobile phone use rather than sensor-based OSA detection.
P1180,Independent and dose-dependent effect of sleep apnea-specific hypoxic burden on hypertension in obstructive sleep apnea: results from Shanghai Sleep Health Study cohort,EXCLUDE,EC-NO-ABS: Missing abstract text.,Exclusion,EC-NO-ABS: Missing abstract text.
P1185,AI-rway A Scalable Smartphone based Airway Screening tool for OSA and SDB for use @ Scale in pediatric and adult populations,EXCLUDE,EC-NO-ABS: Missing abstract text.,Exclusion,EC-NO-ABS: Missing abstract text.
P1201,Independent association between sleep apnea-specific hypoxic burden and dyslipidemia in obstructive sleep apnea,EXCLUDE,EC-NO-ABS: Thiếu dữ liệu tóm tắt (Abstract) và tiêu đề không nêu rõ việc cảm biến ngưng thở bằng smartphone,Exclusion,EC-NO-ABS: Thiếu dữ liệu tóm tắt (Abstract) và tiêu đề không nêu rõ việc cảm biến ngưng thở bằng smartphone
P1209,Preliminary evidence about the effectiveness of a digital therapy for insomnia and remote sleep monitoring in obstructive sleep apnea treatment,EXCLUDE,EC-NO-ABS: Thiếu dữ liệu tóm tắt (Abstract) và tiêu đề không nêu rõ việc cảm biến ngưng thở bằng smartphone,Exclusion,EC-NO-ABS: Thiếu dữ liệu tóm tắt (Abstract) và tiêu đề không nêu rõ việc cảm biến ngưng thở bằng smartphone
P1210,Comparative Analysis of Mid-Sleep Point Calculation Methods Using Actigraphy: Relationship with Sleep Quality and Chronotype,EXCLUDE,EC-NO-ABS: Thiếu dữ liệu tóm tắt (Abstract) và tiêu đề không nêu rõ việc cảm biến ngưng thở bằng smartphone,Exclusion,EC-NO-ABS: Thiếu dữ liệu tóm tắt (Abstract) và tiêu đề không nêu rõ việc cảm biến ngưng thở bằng smartphone
P122,The Carbon Gap in Everyday Mobility: Accessibility Benchmarks and Mobile Phone Evidence,EXCLUDE,EC-N: Không liên quan đến sàng lọc ngưng thở khi ngủ bằng smartphone,Exclusion,EC-N: Không liên quan đến sàng lọc ngưng thở khi ngủ bằng smartphone
P1223,How Physical Activity is Associated With Sleep Quality Through Mobile Phone Addiction and Rumination in University Students,EXCLUDE,EC-SUR: Nghiên cứu sử dụng khảo sát tâm lý (PSQI) thay vì cảm biến sàng lọc OSA vật lý,Exclusion,EC-SUR: Nghiên cứu sử dụng khảo sát tâm lý (PSQI) thay vì cảm biến sàng lọc OSA vật lý
P1230,Actigraphy-Estimated Sleep and Circadian Rhythms and the Risk of Delirium Following Traumatic Brain Injury during hospitalization,EXCLUDE,EC-NO-ABS: Thiếu dữ liệu tóm tắt (Abstract) và tiêu đề không nêu rõ việc cảm biến ngưng thở bằng smartphone,Exclusion,EC-NO-ABS: Thiếu dữ liệu tóm tắt (Abstract) và tiêu đề không nêu rõ việc cảm biến ngưng thở bằng smartphone
P1234,1018 Daily Associations Between Sleep and Glucose: Evidence from Actigraphy and Continuous Glucose Monitoring,EXCLUDE,EC-EXT: Sử dụng thiết bị đo đường huyết liên tục và đồng hồ actigraphy chuyên dụng,Exclusion,EC-EXT: Sử dụng thiết bị đo đường huyết liên tục và đồng hồ actigraphy chuyên dụng
P124,"Audio-Centric Earable Computing: Connecting the Device, the Body, and the User",EXCLUDE,EC-EAR-BED: Sử dụng tai nghe thông minh (earables) thay vì cảm biến đặt trên nệm hoặc smartphone,Exclusion,EC-EAR-BED: Sử dụng tai nghe thông minh (earables) thay vì cảm biến đặt trên nệm hoặc smartphone
P1241,Actigraphy from sensor-level acceleration measurement,EXCLUDE,EC-NO-ABS: Missing abstract text.,Exclusion,EC-NO-ABS: Missing abstract text.
P125,Listening to Hands: Robust Acoustic Multi-Hand Pose Reconstruction with RAM-Hand,EXCLUDE,EC-N: Not relevant to obstructive sleep apnea screening.,Exclusion,EC-N: Not relevant to obstructive sleep apnea screening.
P1250,Higher Ambient Temperatures may Increase Sleep Apnea–Specific Pulse-Rate Response in obstructive sleep apnea,EXCLUDE,EC-NO-ABS: Missing abstract text.,Exclusion,EC-NO-ABS: Missing abstract text.
P1260,"Impact of Mobile Phone Addiction on Sleep Quality in Undergraduate Medical Students in a Tertiary Care Teaching Hospital, Srikakulam",EXCLUDE,EC-SUR: Uses questionnaire-based smartphone addiction scales rather than built-in phone sensors for OSA.,Exclusion,EC-SUR: Uses questionnaire-based smartphone addiction scales rather than built-in phone sensors for OSA.
P1268,Comparison of under-mattress sensor and CPAP data for home monitoring in obstructive sleep apnea,EXCLUDE,EC-BED: Uses a specialized under-mattress sensor (WITHINGS Sleep Analyzer) rather than direct smartphone placement.,Exclusion,EC-BED: Uses a specialized under-mattress sensor (WITHINGS Sleep Analyzer) rather than direct smartphone placement.
P1271,Actigraphy can mislead: Sleep duration recommendations are based on self-report,EXCLUDE,EC-NO-ABS: Missing abstract text.,Exclusion,EC-NO-ABS: Missing abstract text.
P1273,GA-SPARF: Genetic algorithm-tuned random forest for sleep position monitoring using accelerometer,EXCLUDE,EC-EXT: Uses dedicated external IoT hardware (ADXL345 accelerometer and ESP8266 microcontroller) instead of a smartphone.,Exclusion,EC-EXT: Uses dedicated external IoT hardware (ADXL345 accelerometer and ESP8266 microcontroller) instead of a smartphone.
P1279,Clinical validation of a multisensor wearable device (SOUNDI) for the diagnosis of obstructive sleep apnea (OSA),EXCLUDE,EC-EXT: Uses a specialized multi-sensor wearable device (SOUNDI) rather than built-in smartphone sensors.,Exclusion,EC-EXT: Uses a specialized multi-sensor wearable device (SOUNDI) rather than built-in smartphone sensors.
P1286,The Interplay of Sleep and Cognition: Amnestic MCI and Severe OSA in the Elderly,EXCLUDE,EC-NO-ABS: Missing abstract text.,Exclusion,EC-NO-ABS: Missing abstract text.
P1297,Evaluation of an automated sleep apnea scoring algorithm via the Wesper Lab home sleep apnea test,EXCLUDE,EC-EXT: Uses dedicated external devices (Wesper Lab home sleep apnea test hardware).,Exclusion,EC-EXT: Uses dedicated external devices (Wesper Lab home sleep apnea test hardware).
P1300,An Integrated Care Approach for Improved Health Management: Sleep Quality Assessment including Real-Time Detection of Sleep Apnea,EXCLUDE,EC-EXT: Relies on external multi-parameter wearable or monitoring medical devices.,Exclusion,EC-EXT: Relies on external multi-parameter wearable or monitoring medical devices.
P1312,Insomnia as a Symptom of REM-related OSA: A Retrospective Cross-Sectional Study in 1736 OSA Patients,EXCLUDE,EC-NO-ABS: Missing abstract text.,Exclusion,EC-NO-ABS: Missing abstract text.
P1314,Psychiatric comorbidities associated with obstructive sleep apnea,EXCLUDE,EC-NO-ABS: Missing abstract text.,Exclusion,EC-NO-ABS: Missing abstract text.
P1316,Characterizing blood pressure responses to sleep apnea by sleep stage and sleep position,EXCLUDE,EC-NO-ABS: Missing abstract text.,Exclusion,EC-NO-ABS: Missing abstract text.
P1319,Sleep depth is reflected in the spectral characteristics of the human wrist actigraphy,EXCLUDE,EC-NO-ABS: Missing abstract text.,Exclusion,EC-NO-ABS: Missing abstract text.
P1323,Bidirectional relationship between sleep disturbances and pain in Japanese patients with chronic pain: findings from actigraphy and sleep diaries,EXCLUDE,EC-CLINIC: Focuses on chronic pain and actigraphy rather than OSA screening.,Exclusion,EC-CLINIC: Focuses on chronic pain and actigraphy rather than OSA screening.
P1328,Comorbid insomnia and sleep apnea (COMISA),EXCLUDE,EC-BENCH: Evaluates entirely on public standard medical databases (Sleep Heart Health Study - SHHS) without collecting original smartphone data.,Exclusion,EC-BENCH: Evaluates entirely on public standard medical databases (Sleep Heart Health Study - SHHS) without collecting original smartphone data.
P1341,Effect of mobile phone usage on sleep quality among adolescents,EXCLUDE,EC-PED: Study population is adolescents (<18 years old).,Exclusion,EC-PED: Study population is adolescents (<18 years old).
P1342,Elevated Hair Cortisol Concentrations Are Associated With Poor Sleep Quality Evaluated Using the Pittsburgh Sleep Quality Index but Not With Actigraphy,EXCLUDE,EC-EXT: Uses actigraphy devices rather than built-in smartphone sensors.,Exclusion,EC-EXT: Uses actigraphy devices rather than built-in smartphone sensors.
P1343,"Iron methabolism status in three types of sleep disorders (OSA, chronic insomnia, RLS without insomnia)",EXCLUDE,EC-NO-ABS: Missing abstract data.,Exclusion,EC-NO-ABS: Missing abstract data.
P1348,Sleep-Related Tongue-Biting Events Associated with Obstructive Sleep Apnea: A Case Report,EXCLUDE,EC-NO-ABS: Missing abstract data.,Exclusion,EC-NO-ABS: Missing abstract data.
P1353,The impact of actigraphy parameter choices on sleep estimates in one-month-old infants,EXCLUDE,EC-PED: Study population consists of one-month-old infants.,Exclusion,EC-PED: Study population consists of one-month-old infants.
P1354,Infrared Optical Gas Imaging for Sleep Apnea Diagnosis,EXCLUDE,EC-NO-ABS: Missing abstract data and title indicates optical/camera imaging (EC-CAM).,Exclusion,EC-NO-ABS: Missing abstract data and title indicates optical/camera imaging (EC-CAM).
P1356,Does self-reported sleep duration reflect actigraphy-reported sleep duration in male youth soccer players?,EXCLUDE,EC-NO-ABS: Missing abstract data.,Exclusion,EC-NO-ABS: Missing abstract data.
P1366,Rethinking Sleep Apnea Severity: Beyond AHI versus multidimensional Polysomnographic Indices,EXCLUDE,EC-NO-ABS: Missing abstract data and title does not clearly indicate smartphone-based apnea sensing,Exclusion,EC-NO-ABS: Missing abstract data and title does not clearly indicate smartphone-based apnea sensing
P1372,Beyond device downloads: residual sleep apnea and hypoxemia missed by flow-based CPAP monitoring,EXCLUDE,EC-EAR-BED: Uses specialized home sleep testing devices (SleepImage system) and CPAP downloads rather than smartphone built-in sensors,Exclusion,EC-EAR-BED: Uses specialized home sleep testing devices (SleepImage system) and CPAP downloads rather than smartphone built-in sensors
P1374,Sleep spindle characteristics in children with OSA and their associations with declarative memory function,EXCLUDE,EC-PED: Pediatric population; EC-NO-ABS: Missing abstract,Exclusion,EC-PED: Pediatric population; EC-NO-ABS: Missing abstract
P1376,Re “Tirzepatide for sleep-disordered breathing in SURMOUNT-OSA” — Perspective on potential weight-independent effects,EXCLUDE,EC-CLINIC: Drug clinical trial perspective (Tirzepatide); EC-NO-ABS: Missing abstract,Exclusion,EC-CLINIC: Drug clinical trial perspective (Tirzepatide); EC-NO-ABS: Missing abstract
P1384,The Relationship Between Short Lingual Frenulum and Sleep Apnea,EXCLUDE,EC-PED: Pediatric population focus,Exclusion,EC-PED: Pediatric population focus
P1394,P68 Accessible mobile interface design for reviewing obstructive sleep apnoearelated biometric data in a non-diagnostic mHealth tool,EXCLUDE,"EC-SYS: Focuses on mobile interface design, accessibility, and mHealth app UI rather than underlying OSA detection algorithms and clinical screening validation",Exclusion,"EC-SYS: Focuses on mobile interface design, accessibility, and mHealth app UI rather than underlying OSA detection algorithms and clinical screening validation"
P1395,P6 Repeated dosing of 50 mg daridorexant in patients with severe obstructive sleep apnea: Effect on sleep-disordered breathing and sleep,EXCLUDE,EC-CLINIC: Clinical drug dosing study (daridorexant); EC-NO-ABS: Missing abstract,Exclusion,EC-CLINIC: Clinical drug dosing study (daridorexant); EC-NO-ABS: Missing abstract
P1403,Continuous Mobile Audio Monitoring for Sleep Apnea Detection,EXCLUDE,EC-NO-ABS: Incomplete or missing full abstract text to verify methodology and smartphone sensor usage,Exclusion,EC-NO-ABS: Incomplete or missing full abstract text to verify methodology and smartphone sensor usage
P1407,Evaluation of a sleep sound analysis smartphone app for home obstructive sleep apnea screening among community-dwelling Chinese adults with hypertension,EXCLUDE,Pending Title and Abstract screening review,Exclusion,Pending Title and Abstract screening review
P1410,Validation of an artificial intelligence-driven novel microphone-based wireless jaw movement and respiratory event detection system for home sleep apnea …,EXCLUDE,Pending Title and Abstract screening review,Exclusion,Hệ thống chẩn đoán yêu cầu đính kèm một bộ phát siêu âm cơ học (ultrasonic emitter) dán trực tiếp lên cằm bệnh nhân để theo dõi chuyển động hàm (bị loại bởi EC-EXT do yêu cầu thêm cảm biến ngoại vi chuyên dụng dán lên cơ thể).
P1434,Continuous Monitoring of Positive Airway Pressure Therapy with a Smartphone-Based Home Sleep Apnea Test,EXCLUDE,EC-CLINIC,Exclusion,EC-CLINIC
P1438,P53 Multi-task learning for acoustic analysis of obstructive sleep apnea,INCLUDE,Satisfies Title and Abstract inclusion criteria (IC1-IC4),Exclusion,"Bản thảo là một tóm tắt hội thảo (extended abstract) đăng trên phụ san của tạp chí với độ dài chỉ khoảng 1 trang, dưới mức 4 trang tối thiểu (bị loại bởi EC-S)."
P1440,P57 Smartphone-based acoustic screening for paediatric sleep disordered breathing in hospital and home settings: data collection and preliminary machine learning …,EXCLUDE,EC-PED,Exclusion,EC-PED
P1446,Transfer Learning for Paediatric Sleep Apnoea Detection using Physiology-Guided Acoustic Models,EXCLUDE,EC-PED,Exclusion,EC-PED
P1449,A Skin-Conformal and Modular Pasteable Platform for Sleep Monitoring,EXCLUDE,EC-EXT,Exclusion,EC-EXT
P1456,Sleep Cycle® as a Home-Based Sleep Monitoring Tool: A Preliminary Comparison of Assessment Methods.,EXCLUDE,EC-PROP,Exclusion,EC-PROP
P1459,Snoring-based obstructive sleep apnea screening and AHI estimation with an adapted pretrained audio model,INCLUDE,Satisfies Title and Abstract inclusion criteria (IC1-IC4),Exclusion,EC-A: Toàn văn tài liệu không có sẵn trong thư mục tài liệu thực tế của Notebook để thực hiện đánh giá chi tiết (Full-text is unavailable in the actual Notebook sources folder for full-text review).
P149,StreamSplit: Continuous Audio Representation Learning via Uncertainty-Guided Adaptive Splitting,EXCLUDE,EC1: Focuses on general edge contrastive learning frameworks rather than OSA screening.,Exclusion,EC1: Focuses on general edge contrastive learning frameworks rather than OSA screening.
P165,AquaScan: A Sonar-based Underwater Sensing System for Human Activity Monitoring,EXCLUDE,EC1: Focuses on underwater human activity monitoring using sonars.,Exclusion,EC1: Focuses on underwater human activity monitoring using sonars.
P167,Inferring Indoor Layouts using Audio,EXCLUDE,EC1: Focuses on indoor layout reconstruction using audio beacons.,Exclusion,EC1: Focuses on indoor layout reconstruction using audio beacons.
P181,CoSleep: Cognitive Security-Oriented Sleep Monitoring Framework,EXCLUDE,EC-EAR-BED: Uses radar-based monitoring rather than smartphone sensors.,Exclusion,EC-EAR-BED: Uses radar-based monitoring rather than smartphone sensors.
P183,A Bayesian Structural Equation Modeling Framework for Analyzing Drivers’ Mobile Phone Use Intention,EXCLUDE,EC-SUR: Focuses on behavioral intention modeling via surveys.,Exclusion,EC-SUR: Focuses on behavioral intention modeling via surveys.
P185,AGChain: A Blockchain-based Gateway for Trustworthy App Delegation from Mobile App Markets,EXCLUDE,EC1: Focuses on blockchain-based mobile app distribution and security.,Exclusion,EC1: Focuses on blockchain-based mobile app distribution and security.
P212,Building Audio-Visual Digital Twins with Smartphones,EXCLUDE,EC1: Focuses on building audio-visual digital twins using smartphones.,Exclusion,EC1: Focuses on building audio-visual digital twins using smartphones.
P251,"""I Want to Keep My Phone Away From the Bed"": Designing a Smart Pillow for Sleep Onset",EXCLUDE,EC-EAR-BED: Uses a smart pillow design for sleep onset rather than smartphone-based sensors for sleep apnea screening.,Exclusion,EC-EAR-BED: Uses a smart pillow design for sleep onset rather than smartphone-based sensors for sleep apnea screening.
P253,Demo: NunaPin: Automatic Scenario Recognition and Intent Extraction for Wearable Audio,EXCLUDE,EC-EXT: Relies on a specialized external wearable necklace device rather than built-in smartphone sensors.,Exclusion,EC-EXT: Relies on a specialized external wearable necklace device rather than built-in smartphone sensors.
P272,Mobile App Analysis in the New Era: Challenges and the Road Ahead,EXCLUDE,EC-N: Focuses on mobile app analysis challenges and methodologies rather than empirical clinical screening for sleep apnea.,Exclusion,EC-N: Focuses on mobile app analysis challenges and methodologies rather than empirical clinical screening for sleep apnea.
P293,"App-solutely Vulnerable: Learning Mobile Security through Build, Fortify, and Attack",EXCLUDE,EC-N: Educational paper focusing on a mobile security group project rather than clinical sleep apnea research.,Exclusion,EC-N: Educational paper focusing on a mobile security group project rather than clinical sleep apnea research.
P309,HybridPrompt: Bridging Generative Priors and Traditional Codecs for Mobile Streaming,EXCLUDE,EC-SYS: Focuses purely on video streaming system performance and codecs on mobile devices without clinical outcomes.,Exclusion,EC-SYS: Focuses purely on video streaming system performance and codecs on mobile devices without clinical outcomes.
P326,A Multi-Scale Hypergraph-Based Approach for Third-Party Library Recommendation in Mobile App Development,EXCLUDE,EC-N: Focuses on software engineering (third-party library recommendation) rather than medical diagnostics.,Exclusion,EC-N: Focuses on software engineering (third-party library recommendation) rather than medical diagnostics.
P327,Scenario-Guided LLM-based Mobile App GUI Testing,EXCLUDE,EC-SYS: Focuses on automated mobile app GUI testing using LLM multi-agent systems rather than medical screening.,Exclusion,EC-SYS: Focuses on automated mobile app GUI testing using LLM multi-agent systems rather than medical screening.
